"","college_name","national_rank","link","liberal_rank"
"410","Bethune-Cookman University",NA,"/best-colleges/bethune-cookman-university-1467",173
"411","Bloomfield College",NA,"/best-colleges/bloomfield-college-2597",173
"412","Bridgewater College",NA,"/best-colleges/bridgewater-college-3704",173
"413","Bryn Athyn College of the New Church",NA,"/best-colleges/bryn-athyn-3228",173
"414","Cheyney University of Pennsylvania",NA,"/best-colleges/cheyney-university-3317",173
"415","Claflin University",NA,"/best-colleges/claflin-university-3424",173
"416","Davis and Elkins College",NA,"/best-colleges/davis-and-elkins-college-3811",173
"417","Dillard University",NA,"/best-colleges/dillard-university-2004",173
"418","East-West University",NA,"/best-colleges/east-west-chicago-university-21686",173
"419","Emmanuel College",NA,"/best-colleges/emmanuel-college--massachusetts-2147",173
"420","Erskine College",NA,"/best-colleges/erskine-college-3432",173
"421","Fisk University",NA,"/best-colleges/fisk-3490",173
"422","Fort Lewis College",NA,"/best-colleges/fort-lewis-college-1353",173
"423","Holy Cross College",NA,"/best-colleges/holy-cross-college-7263",173
"424","Johnson C. Smith University",NA,"/best-colleges/johnson-c-smith-2936",173
"425","Judson College",NA,"/best-colleges/judson-college-1023",173
"426","The King's College",NA,"/best-colleges/kings-college-new-york-666134",173
"427","LaGrange College",NA,"/best-colleges/lagrange-college-1578",173
"428","Louisiana State University--Alexandria",NA,"/best-colleges/lsua-2011",173
"429","Lyon College",NA,"/best-colleges/lyon-college-1088",173
"430","Marymount Manhattan College",NA,"/best-colleges/marymount-manhattan-2769",173
